country;designation;points;price;province;region_1;region_2;variety;winery;last_year_points
US;Bethlehem Valley;83;25.0;Missouri;Missouri;;Norton;Mount Pleasant Winery;93
US;Libra;83;25.0;Washington;Columbia Valley (WA);Columbia Valley;Red Blend;Page Cellars;88
US;Westside;83;19.0;California;Paso Robles;Central Coast;Zinfandel;Peachy Canyon;87
US;;83;19.0;New Mexico;New Mexico;;Montepulciano;Vivác Winery;96
US;;87;60.0;California;St. Helena;Napa;Cabernet Sauvignon;Parry Cellars;86
Spain;Ceps Nous;87;27.0;Catalonia;Priorat;;Red Blend;Pasanau Germans;88
Spain;;87;10.0;Central Spain;La Mancha;;Tempranillo Blend;Paso a Paso;99
Portugal;Touriga Nacional;87;55.0;Douro;;;Touriga Nacional;Quinta do Vallado;98
US;Bench Lands;87;22.0;Oregon;Umpqua Valley;Southern Oregon;Pinot Noir;Brandborg;84
Portugal;Q do E Encontro;87;9.0;Bairrada;;;Bical;Dão Sul;84
US;E3;87;42.0;California;Knights Valley;Sonoma;Bordeaux-style Red Blend;Elements of Sonoma;92
US;Steinbeck Vineyard & Wine-Bush Vineyard;87;24.0;California;Paso Robles;Central Coast;Zinfandel;Eberle;93
US;;87;15.0;California;Sonoma County;Sonoma;Chardonnay;Gallo Family Vineyards;83
Portugal;;87;19.0;Alentejano;;;Syrah;Herdade do Esporão;100
Portugal;Barco Negro;87;14.0;Douro;;;Portuguese Red;J. & F. Lurton;81
US;;87;8.0;California;California;California Other;Sauvignon Blanc;Woodbridge by Robert Mondavi;82
US;;87;19.0;Oregon;Willamette Valley;Willamette Valley;Pinot Noir;Siduri;83
US;Scorched Earth Vineyard;87;24.0;Oregon;Columbia Valley (OR);Oregon Other;Grenache;Sineann;97
US;Castello;87;30.0;California;Central Coast;Central Coast;Chardonnay;Testarossa;83
US;;87;65.0;California;Howell Mountain;Napa;Cabernet Sauvignon;Stephen & Walker;92
US;Summit;87;52.0;California;Sonoma Valley;Sonoma;Bordeaux-style Red Blend;Audelssa;81
US;Alegria Vineyard;87;32.0;California;Russian River Valley;Sonoma;Cabernet Franc;Acorn;82
Portugal;;87;19.0;Alentejano;;;Alicante Bouschet;Herdade do Esporão;96
France;Au Dessus de la Loi Andlau;87;24.0;Alsace;Alsace;;Riesling;Marc Kreydenweiss;89
US;;87;19.0;Oregon;Oregon;Oregon Other;Pinot Noir;Erath;81
Australia;Tadpole;87;13.0;South Australia;McLaren Vale;;Shiraz;Gemtree;84
Portugal;Terra Plana;87;10.0;Alentejano;;;Portuguese Red;Dão Sul;81
US;;87;17.0;Pennsylvania;Pennsylvania;;Pinot Grigio;Chaddsford;94
US;Hayne Vineyard;87;45.0;California;St. Helena;Napa;Zinfandel;Chase;85
Spain;Miros;87;19.0;Northern Spain;Ribera del Duero;;Tempranillo Blend;Bodegas Peñafiel;88
US;Fleur Late Harvest;87;25.0;California;Santa Lucia Highlands;Central Coast;Riesling;Clos du Bois;80
Italy;Sorì Rio Sordo;87;87.0;Piedmont;Barbaresco;;Nebbiolo;Ca'Romè;99
US;Niclaire;88;75.0;California;California;California Other;Pinot Noir;Testarossa;81
US;;88;26.0;California;Napa Valley;Napa;Merlot;Starmont;98
US;Brut;88;23.0;California;Anderson Valley;Mendocino/Lake Counties;Champagne Blend;Roederer Estate;80
US;Evergreen Vineyard;88;23.0;Washington;Columbia Valley (WA);Columbia Valley;Chardonnay;Milbrandt;86
US;Estate;88;34.0;California;Sonoma County;Sonoma;Zinfandel;Bugay;96
Italy;;88;18.0;Piedmont;Roero Arneis;;Arneis;Giacomo Vico;98
US;Champoux Vineyard;88;50.0;Washington;Horse Heaven Hills;Columbia Valley;Cabernet Sauvignon;Fidelitas;98
France;Blanc de Blancs Brut;88;50.0;Champagne;Champagne;;Chardonnay;Charles Ellner;94
US;Connor Lee Vineyard;88;18.0;Washington;Columbia Valley (WA);Columbia Valley;Chardonnay;Arbor Crest;100
Italy;Audinaggio;88;39.0;Piedmont;Roero;;Nebbiolo;Cascina Cà Rossa;82
Italy;Tre Stelle;88;68.0;Piedmont;Barbaresco;;Nebbiolo;Cascina delle Rose;89
Chile;Amelia Limited Release;88;35.0;Casablanca Valley;;;Chardonnay;Concha y Toro;100
Chile;Marques de Casa Concha;88;22.0;Peumo;;;Carmenère;Concha y Toro;94
Italy;Stradivario;88;68.0;Piedmont;Barbera d'Asti Superiore;;Barbera;Bava;86
France;Topaze Zéro Dosage;88;;Champagne;Champagne;;Champagne Blend;Louis Barthélémy;96
Italy;Castelletto Riserva;88;;Piedmont;Roero;;Nebbiolo;Malabaila;95
US;;88;32.0;California;Santa Barbara County;Central Coast;Chardonnay;Inocencio;80
France;Rosé Premier Cru Brut;88;54.0;Champagne;Champagne;;Champagne Blend;J. Dumangin Fils;84
US;;88;15.0;California;Sonoma Valley;Sonoma;Viognier;Kunde;100
US;The Estates;88;25.0;Washington;Wahluke Slope;Columbia Valley;Merlot;Milbrandt;92
US;Upland Vineyard;88;28.0;Washington;Snipes Mountain;Columbia Valley;Malbec;Nefarious Cellars;98
Austria;;88;17.0;Weinviertel;;;Grüner Veltliner;Zull;89
Austria;Gelber Muskateller Klassik;88;23.0;Südoststeiermark;;;Gelber Muskateller;Neumeister;93
US;Stetson Greene Vineyard;88;20.0;California;Dry Creek Valley;Sonoma;Sauvignon Blanc;Paradise Ridge;85
France;Cuvée Prestige Brut;88;25.0;Alsace;Crémant d'Alsace;;Sparkling Blend;René Muré;80
US;;88;22.0;California;Calaveras County;Sierra Foothills;Tempranillo;Albeno Munari;90
Italy;;88;25.0;Piedmont;Langhe;;Nebbiolo;Anna Maria Abbona;89
US;Highclimber;88;50.0;Washington;Columbia Valley (WA);Columbia Valley;Sangiovese;Cadaretta;94
France;Brut de Franc;88;30.0;France Other;Vin Mousseux;;Cabernet Franc;Couly-Dutheil;80
US;Domino;88;7.0;California;California;California Other;Pinot Grigio;Delicato;83
France;;86;14.0;Loire Valley;Coteaux d'Ancenis;;Malvoisie;Domaine Guindon;96
France;Reserve;86;13.0;Languedoc-Roussillon;Vin de Pays d'Oc;;Cabernet Sauvignon;Domaines Astruc;100
Italy;Piculìt Neri;86;;Northeastern Italy;Delle Venezie;;Red Blend;Emilio Bulfon;85
US;Estate;86;20.0;California;Alexander Valley;Sonoma;Syrah;Alexander Valley Vineyards;86
US;Reserve;86;18.0;California;Sonoma County;Sonoma;Pinot Noir;Angeline;100
Australia;Potts' Catch;86;15.0;South Australia;Langhorne Creek;;Verdelho;Bleasdale;92
Argentina;Cosecha Tardia Late Harvest;86;10.0;Mendoza Province;Mendoza;;Chardonnay;Bodega Norton;95
Argentina;;86;10.0;Mendoza Province;Mendoza;;Torrontés;Bodega Norton;100
Argentina;Gradum Reserve;86;14.0;Mendoza Province;Mendoza;;Malbec-Cabernet Sauvignon;Bodega Vistandes;100
Italy;Roggio dei Roveri Riserva;86;;Veneto;Lison-Pramaggiore;;Refosco;Bosco del Merlo;88
US;;86;6.0;California;California;California Other;Pinot Grigio;Backhouse;81
Spain;;86;18.0;Northern Spain;Bizkaiko Txakolina;;White Blend;Gorka Izagirre;95
US;;86;15.0;Washington;Rattlesnake Hills;Columbia Valley;Zinfandel;Hyatt;96
France;La Pierrelée;86;21.0;Burgundy;Chablis;;Chardonnay;La Chablisienne;88
US;;86;32.0;California;Paso Robles;Central Coast;Grenache;Venteux;100
Argentina;Tiara;86;30.0;Mendoza Province;Luján de Cuyo;;White Blend;Viña Alicia;99
Italy;Le Prunée;86;16.0;Northeastern Italy;Delle Venezie;;Merlot;Tommasi;89
US;;86;46.0;California;Sonoma Coast;Sonoma;Pinot Noir;Stephen & Walker;94
Italy;Clamore Rosso Nudo;86;12.0;Veneto;Veneto;;Red Blend;Astoria;98
US;;86;50.0;California;Anderson Valley;Mendocino/Lake Counties;Pinot Noir;La Crema;100
Australia;;86;20.0;South Australia;McLaren Vale;;Sangiovese;Kangarilla Road;93
France;;86;11.0;Languedoc-Roussillon;Vin de Pays d'Oc;;Chardonnay;Les Jamelles;92
France;;86;;Burgundy;Rully;;Chardonnay;Maison Champy;85
US;;86;34.0;California;York Mountain;Central Coast;Cabernet Sauvignon;Calcareous;80
Spain;Crianza;86;12.0;Northern Spain;Rioja;;Tempranillo;El Coto;83
US;;86;23.0;California;Napa County-Sonoma County;Napa-Sonoma;Cabernet Sauvignon;Ghost Pines;82
France;Vintage Rosé Brut;86;23.0;Languedoc-Roussillon;Crémant de Limoux;;Sparkling Blend;Château Rives-Blanques;95
Spain;Old Vine;86;11.0;Northern Spain;Cariñena;;Garnacha;Monastir;92
Italy;Romeo;86;10.0;Northeastern Italy;Delle Venezie;;Red Blend;Tommasi;91
France;;87;;Burgundy;Meursault;;Chardonnay;Roux Père et Fils;98
Italy;;87;24.0;Northeastern Italy;Collio;;Pinot Grigio;Russiz Superiore;91
Argentina;Trumpeter;87;13.0;Mendoza Province;Mendoza;;Malbec;Rutini;82
Chile;Reserva;87;12.0;Aconcagua Valley;;;Cabernet Sauvignon;Agustinos;85
US;Parmelee-Hill Vineyard;87;30.0;California;Sonoma Valley;Sonoma;Syrah;Atmosphere;89
France;;87;24.0;Burgundy;Pouilly-Fuissé;;Chardonnay;Bouchard Aîné & Fils;98
US;;87;35.0;California;Sonoma Coast;Sonoma;Pinot Noir;Fogdog;84
US;Barrel Fermented;87;15.0;New York;Finger Lakes;Finger Lakes;Chardonnay;Dr. Konstantin Frank;82
US;Cole Ranch;87;19.0;California;Cole Ranch;Mendocino/Lake Counties;Riesling;Esterlina;92
France;;87;14.0;Rhône Valley;Côtes du Rhône;;Rosé;E. Guigal;80
Italy;Nemorino Rosato;87;20.0;Tuscany;Toscana;;Rosé;I Giusti e Zanza;98
US;Tower Road;87;35.0;California;Paso Robles;Central Coast;Petite Sirah;J. Lohr;97
US;L de Lyeth;87;13.0;California;Sonoma County;Sonoma;Chardonnay;Lyeth;94
France;;87;10.0;Languedoc-Roussillon;Vin de Pays d'Oc;;Sauvignon Blanc;Le Jaja de Jau;98
US;;87;75.0;California;Napa Valley;Napa;Cabernet Sauvignon;Mirror;95
Argentina;Reserva;87;15.0;Mendoza Province;Mendoza;;Malbec;François Lurton;89
US;SRH;87;28.0;California;Sta. Rita Hills;Central Coast;Pinot Noir;Lafond;93
US;;87;48.0;California;Sonoma Coast;Sonoma;Chardonnay;Heintz;84
Chile;Clava;87;12.0;Casablanca Valley;;;Chardonnay;Quintay;85
US;Meritage;87;40.0;Virginia;Virginia;;Red Blend;Tarara;95
US;4 B;87;13.0;California;Central Coast;Central Coast;Chardonnay;Sean Minor;81
US;No Oak;87;19.0;California;Edna Valley;Central Coast;Chardonnay;Tolosa;84
US;Unti Vineyards;87;38.0;California;Dry Creek Valley;Sonoma;Syrah;Muscardini;89
US;;87;24.0;California;Russian River Valley;Sonoma;Chardonnay;White Oak;91
France;Buissonnier Montagny;87;23.0;Burgundy;Montagny;;Chardonnay;Vignerons de Buxy;96
US;Old Vines;87;18.0;California;Russian River Valley;Sonoma;Colombard;Y Rousseau;92
US;;87;16.0;California;Sonoma County;Sonoma;Meritage;Lyeth;99
Argentina;;87;12.0;Mendoza Province;Uco Valley;;Cabernet Sauvignon;Mil Piedras;96
Italy;;87;11.0;Northeastern Italy;Delle Venezie;;Chardonnay;Lagaria;84
France;Anthologia;94;135.0;Southwest France;Bergerac Sec;;Sauvignon Blanc;Château Tour des Gendres;90
Austria;Hochberc;94;31.0;Burgenland;;;Blaufränkisch;Gesellmann;90
Italy;;94;112.0;Tuscany;Toscana;;Syrah;Tua Rita;94
US;Belloni Single Vineyard;94;35.0;California;Russian River Valley;Sonoma;Zinfandel;Ravenswood;99
US;Dickerson Single Vineyard;94;35.0;California;Napa Valley;Napa;Zinfandel;Ravenswood;86
US;Pluribus;94;275.0;California;Napa Valley;Napa;Bordeaux-style Red Blend;BOND;80
US;Pastorale Vineyard;94;100.0;California;Sonoma Coast;Sonoma;Pinot Noir;Freestone;84
Italy;Giusto di Notri;94;75.0;Tuscany;Toscana;;Red Blend;Tua Rita;89
US;Oroppas;94;55.0;California;Napa Valley;Napa;Cabernet Sauvignon;St. Clement;86
Italy;Solengo;94;70.0;Tuscany;Toscana;;Red Blend;Argiano;82
Italy;Luce;94;90.0;Tuscany;Toscana;;Red Blend;Luce della Vite;92
US;Rochioli-Allen Vineyards;94;41.0;California;Russian River Valley;Sonoma;Chardonnay;Gary Farrell;92
France;Charles de Batz;94;25.0;Southwest France;Madiran;;Tannat;Domaine Berthoumieu;87
US;Dutton-Thomas Road Vineyard;94;52.0;California;Green Valley;Sonoma;Pinot Noir;Dutton Estate;82
Italy;Nearco;93;68.0;Tuscany;Sant'Antimo;;Red Blend;Col d'Orcia;96
Italy;Desiderio;93;57.0;Tuscany;Cortona;;Merlot;Avignonesi;80
Austria;Bela Rex;93;30.0;Burgenland;;;Bordeaux-style Red Blend;Gesellmann;99
US;Melbury;93;275.0;California;Napa Valley;Napa;Bordeaux-style Red Blend;BOND;98
US;John C. Sullenger Vineyard;93;90.0;California;Oakville;Napa;Cabernet Sauvignon;Nickel & Nickel;84
Austria;Comondor;93;63.0;Burgenland;;;Austrian Red Blend;Nittnaus Anita und Hans;98
France;Symphonie d'Automne;93;25.0;Southwest France;Pacherenc du Vic Bilh;;Petit Manseng;Domaine Berthoumieu;80
Australia;Michael;93;70.0;South Australia;Coonawarra;;Shiraz;Wynns Coonawarra Estate;87
Portugal;30-years old Tawny;93;70.0;Port;;;Port;Poças;87
US;Terzetto;93;75.0;California;Napa Valley;Napa;Bordeaux-style Red Blend;Volker Eisele Family Estate;94
US;Martin Stelling Vineyard;93;140.0;California;Oakville;Napa;Cabernet Sauvignon;Nickel & Nickel;83
US;;93;33.0;California;Rutherford;Napa;Sauvignon Blanc;Modus Operandi;83
US;Frazier Bluff Vineyard;93;32.0;Washington;Walla Walla Valley (WA);Columbia Valley;Malbec;Bunchgrass;91
South Africa;Fusion V;93;45.0;Stellenbosch;;;Bordeaux-style Red Blend;De Toren;97
Australia;The Eleventh Hour;93;48.0;South Australia;Barossa Valley;;Shiraz;Massena;83
US;La Castellana;87;65.0;California;Napa Valley;Napa;Red Blend;Castello di Amorosa;97
France;;87;17.0;Alsace;Alsace;;Gewürztraminer;Domaine Specht;97
Spain;;87;22.0;Galicia;Rías Baixas;;Albariño;Don Olegario;91
US;Liebler Vineyard;87;35.0;California;Santa Cruz Mountains;Central Coast;Chardonnay;Clos La Chance;99
US;Desert Wind Vineyard;87;15.0;Washington;Wahluke Slope;Columbia Valley;Chardonnay;Duck Pond;96
US;Del Rio Vineyard;87;23.0;Oregon;Rogue Valley;Southern Oregon;Syrah;J. Scott Cellars;82
US;;87;10.0;California;Lake County;Mendocino/Lake Counties;Sauvignon Blanc;Line 39;84
Italy;Fossetti;87;12.0;Tuscany;Toscana;;Red Blend;Mocali;94
US;Poseidon's Vineyard;87;30.0;California;Carneros;Napa-Sonoma;Pinot Noir;Molnar Family;93
Spain;Brut Rosé;87;18.0;Catalonia;Cava;;Pinot Noir;Juvé y Camps;90
US;;87;18.0;California;Sonoma County;Sonoma;Cabernet Sauvignon;Kenwood;98
US;Signature Series;87;19.0;California;Stags Leap District;Napa;Cabernet Sauvignon;Kirkland Signature;88
Italy;;87;23.0;Tuscany;Rosso di Montalcino;;Sangiovese Grosso;La Fornace;82
US;Semi-Dry;87;13.0;New York;Finger Lakes;Finger Lakes;Riesling;Lamoreaux Landing;83
US;Altitude 2401 Fair Play Farms;87;28.0;California;El Dorado;Sierra Foothills;Petite Sirah;Perry Creek;81
Australia;Marquis Philips;87;18.0;South Australia;McLaren Vale;;Grenache;R Wines;96
Italy;;87;23.0;Tuscany;Rosso di Montalcino;;Sangiovese Grosso;SassodiSole;84
US;Rodgers Creek Vineyard;87;48.0;California;Sonoma Coast;Sonoma;Pinot Noir;Sojourn;83
US;;87;16.0;Oregon;Willamette Valley;Willamette Valley;Pinot Blanc;Spindrift Cellars;91
US;;87;21.0;California;Napa Valley;Napa;Chardonnay;Rutherford Hill;84
US;;87;19.0;Washington;Columbia Valley (WA);Columbia Valley;Chardonnay;Three Rivers;87
US;;87;50.0;California;Napa Valley;Napa;Cabernet Franc;Trinchero;85
US;Scout's Honor;87;38.0;California;Napa Valley;Napa;Red Blend;Venge;100
Italy;Castelgiocondo Campo ai Sassi;87;25.0;Tuscany;Rosso di Montalcino;;Sangiovese Grosso;Marchesi de' Frescobaldi;80
US;Traditions;87;13.0;Washington;Columbia Valley (WA);Columbia Valley;Pinot Gris;Milbrandt;82
Italy;Fossetti;87;15.0;Tuscany;Toscana;;White Blend;Mocali;96
US;;87;24.0;California;Alexander Valley;Sonoma;Cabernet Sauvignon;Lake Sonoma;99
France;;88;17.0;Rhône Valley;Muscat de Beaumes de Venise;;Muscat Blanc à Petit Grain;Domaine de Beaumalric;82
US;H3;88;15.0;Washington;Horse Heaven Hills;Columbia Valley;Pinot Gris;Columbia Crest;85
US;;88;25.0;California;Dry Creek Valley;Sonoma;Zinfandel;Artezin;83
Spain;Vinyes Velles Nobles Garnatxa-Carinyena;88;20.0;Catalonia;Montsant;;Red Blend;Acústic;94
US;;88;16.0;California;Napa Valley;Napa;Merlot;Irony;94
Spain;Tinto Figuero 4;88;20.0;Northern Spain;Ribera del Duero;;Tempranillo;García Figuero;81
US;;88;25.0;California;Livermore Valley;Central Coast;Grenache;Fenestra;100
US;Silvaspoons Vineyards;88;21.0;California;Lodi;Central Valley;Malbec;Fenestra;93
France;Holder;88;;Alsace;Alsace;;Gewürztraminer;Henri Schoenheitz;85
Croatia;G6;88;19.0;Croatia;;;Grenache;Bibich;96
US;Vivio Vineyard;88;40.0;California;Bennett Valley;Sonoma;Syrah;Bodega Rancho;93
US;Sec California Champagne;88;13.0;California;California;California Other;Sparkling Blend;Korbel;100
US;;88;32.0;Washington;Columbia Valley (WA);Columbia Valley;Cabernet Sauvignon;L'Ecole No. 41;80
US;;88;25.0;Washington;Columbia Valley (WA);Columbia Valley;Syrah;L'Ecole No. 41;98
US;Honah Lee White;88;30.0;Virginia;Virginia;;White Blend;Tarara;80
Austria;Heideboden;88;19.0;Burgenland;;;Zweigelt;Nittnaus Hans und Christine;82
Spain;;88;13.0;Northern Spain;Rioja;;Tempranillo;Obalo;86
US;Reserve;88;26.0;California;Russian River Valley;Sonoma;Chardonnay;Simi;89
Slovenia;Pinot Populus;88;;Vipavska Dolina;;;Pinot Grigio;Sivi;80
US;The Leap;88;80.0;California;Stags Leap District;Napa;Cabernet Sauvignon;Stags' Leap Winery;93
France;;88;;Alsace;Alsace;;Pinot Gris;Rieflé;83
Spain;;88;13.0;Northern Spain;Rueda;;Verdejo;Palacio de Bornos;93
US;Eclipse;88;35.0;Washington;Washington;Washington Other;Red Blend;Palouse;83
France;Vieilles Vignes;88;;Alsace;Alsace;;Pinot Blanc;Martin Schaetzel;97
Italy;Rubio;88;15.0;Tuscany;Toscana;;Sangiovese;San Polo;93
France;Réserve;88;;Alsace;Alsace;;Pinot Blanc;Willm;91
Spain;Reserva;88;;Northern Spain;Ribera del Duero;;Tempranillo;Viña Mayor;95
US;;88;22.0;Washington;Lake Chelan;Columbia Valley;Pinot Grigio;Wapato Point Cellars;90
France;Château la Tour de Bief Claude de la Tour;88;;Beaujolais;Moulin-à-Vent;;Gamay;Domaine Vincent Girardin;86
US;Enlace;86;25.0;California;Napa Valley;Napa;Cabernet Sauvignon;Liparita;96
Italy;Nivole;86;15.0;Piedmont;Asti;;Moscato;Michele Chiarlo;88
Greece;;86;19.0;Mantinia;;;White Blend;Nasiakos;81
US;;86;35.0;California;Sonoma Coast;Sonoma;Pinot Noir;Peter Cellars;81
US;Huerhuero;86;20.0;California;Paso Robles;Central Coast;Viognier;Vina Robles;96
US;Diamond JEM Vineyard;86;32.0;California;Paso Robles;Central Coast;Cabernet Sauvignon;Peloton;93
Greece;Demestica;86;9.0;Greece;;;Rosé;Achaia Clauss;90
US;Katie's Côte;86;20.0;California;Shenandoah Valley (CA);Sierra Foothills;Rhône-style Red Blend;Amador Foothill Winery;91
US;Estate;86;24.0;California;Russian River Valley;Sonoma;Syrah;Balletto;97
France;Pur Pinot Noir Brut;86;25.0;Burgundy;Crémant de Bourgogne;;Pinot Noir;Bailly-Lapierre;96
Portugal;Fine Rich Sweet;86;;Madeira;;;Madeira Blend;Broadbent;90
US;;86;48.0;California;Russian River Valley;Sonoma;Pinot Noir;C. Donatiello;80
Spain;Extra Dry;86;9.0;Catalonia;Cava;;Sparkling Blend;Cristalino;96
US;;86;22.0;Oregon;Willamette Valley;Willamette Valley;Pinot Noir;Firesteed;82
US;GSMV;86;22.0;California;Paso Robles;Central Coast;Rhône-style Red Blend;Minassian-Young;97
Spain;Brut de Bruts;86;20.0;Catalonia;Cava;;Sparkling Blend;Gran Rigau;83
Greece;Vin de Crete;86;9.0;Crete;;;Vilana;Kourtaki;93
Greece;;86;10.0;Mavrodaphne of Patras;;;Mavrodaphne;Kourtaki;93
Spain;Spumante;86;10.0;Catalonia;Cava;;Sparkling Blend;Freixenet;84
Greece;;86;15.0;Mantinia;;;Moschofilero;Kourtaki;83
US;;86;60.0;California;Napa Valley;Napa;Cabernet Sauvignon;Kuleto Estate;98
Portugal;10 Anos White;86;;Port;;;Port;Quinta Santa Eufemia;91
US;Wit Reserve;86;38.0;Oregon;Willamette Valley;Willamette Valley;Pinot Noir;Styring;82
US;;86;38.0;California;Napa Valley;Napa;Syrah;Signorello;97
Germany;Thüngersheimer Ravensburg Kabinett Trocken;86;20.0;Franken;;;Silvaner;Thüngersheim;97
Greece;;86;16.0;Peloponnese;;;Roditis;Nasiakos;83
Spain;;86;18.0;Galicia;Rías Baixas;;Albariño;Vionta;83
Spain;Crianza;86;17.0;Northern Spain;Navarra;;Tempranillo;Ochoa;83
Portugal;Special Reserve Tawny;86;18.0;Port;;;Port;Poças;98
US;Nagengast Estate Vineyard Reserve;86;50.0;California;Paso Robles;Central Coast;Meritage;Cinquain;88
US;;90;15.0;California;Monterey;Central Coast;Riesling;Brass Tacks;87
US;;90;25.0;California;Santa Maria Valley;Central Coast;Chardonnay;Byron;89
US;Lot 88 Ancient Vines;90;13.0;California;Amador County;Sierra Foothills;Zinfandel;Cameron Hughes;93
US;Orchestration;90;28.0;California;Paso Robles;Central Coast;Red Blend;D'Anbino;83
France;Premier Cru;90;71.0;Burgundy;Pernand-Vergelesses;;Chardonnay;Domaine Laleure-Piot;83
Australia;lieu dit Malakoff;90;40.0;Victoria;Pyrenees;;Shiraz;Domaine Terlato & Chapoutier;90
Italy;La Casetta;90;;Veneto;Valpolicella Classico Superiore Ripasso;;Corvina, Rondinella, Molinara;Domìni Veneti;91
Germany;Wehlener Sonnenuhr Kabinett;90;22.0;Mosel-Saar-Ruwer;;;Riesling;Dr. F. Weins-Prüm;94
US;Estate Bottled;90;18.0;California;Paso Robles;Central Coast;Chardonnay;Eberle;87
US;;90;45.0;California;Paso Robles;Central Coast;Syrah;Jack Creek;86
US;Ben Hogan Tribute Series;90;27.0;California;Paso Robles;Central Coast;Cabernet Sauvignon-Syrah;JanKris;92
US;Estate Cuvée;90;85.0;California;Paso Robles;Central Coast;Red Blend;L'Aventure;87
Spain;Capellanía;90;26.0;Northern Spain;Rioja;;White Blend;Marqués de Murrieta;82
Italy;Serego Alighieri Valpolicella dell'Anniversario 650 Anni;90;25.0;Veneto;Valpolicella Classico Superiore;;Corvina, Rondinella, Molinara;Masi;93
France;Premier Cru;90;98.0;Burgundy;Chambolle-Musigny;;Pinot Noir;Joseph Drouhin;82
France;;90;70.0;Burgundy;Gevrey-Chambertin;;Pinot Noir;Joseph Faiveley;100
Spain;Clos del Music;90;60.0;Catalonia;Priorat;;Red Blend;Pinord;97
US;Esprit de Beaucastel;90;50.0;California;Paso Robles;Central Coast;Rhône-style Red Blend;Tablas Creek;85
US;Solomon Hills Vineyard;90;48.0;California;Santa Maria Valley;Central Coast;Pinot Noir;Tantara;86
US;;90;15.0;California;Paso Robles;Central Coast;Sauvignon Blanc;Robert Hall;84
Germany;Balduin von Hövel;90;17.0;Mosel;;;Riesling;Von Hövel;92
France;;90;66.0;Burgundy;Chassagne-Montrachet;;Chardonnay;Xavier Monnot;97
France;Les Toussaints Premier Cru;90;51.0;Burgundy;Beaune;;Pinot Noir;Xavier Monnot;82
France;Les Chaumées Premier Cru;90;64.0;Burgundy;Chassagne-Montrachet;;Pinot Noir;Michel Picard;97
US;Poseidon's Vineyard;90;24.0;California;Carneros-Napa Valley;Napa;Chardonnay;Molnar Family;82
US;;90;35.0;California;Mount Veeder;Napa;Chardonnay;Napa Cellars;98
Italy;I Progni;90;28.0;Veneto;Valpolicella Classico Superiore Ripasso;;Corvina, Rondinella, Molinara;Le Salette;88
US;Fog Catcher;90;50.0;California;Paso Robles;Central Coast;Bordeaux-style Red Blend;Niner;89
Spain;Artemayor Brut Nature;82;38.0;Catalonia;Cava;;Sparkling Blend;Dominio de la Vega;90
France;;82;28.0;Burgundy;Chablis;;Chardonnay;Domaine Faiveley;85
Argentina;;82;8.0;Mendoza Province;Mendoza;;Shiraz;Funky Llama;97
US;Estate;82;20.0;California;Sonoma Coast;Sonoma;Pinot Noir;Jacuzzi;99
US;;82;12.0;California;California;California Other;Chardonnay;Butterfly Kiss;92
Spain;Pata Negra Gran Reserva;82;15.0;Central Spain;Valdepeñas;;Tempranillo;Bodegas Los Llanos;84
Spain;Luzón Blanco;82;8.0;Levante;Jumilla;;Macabeo;Bodegas Luzón;85
US;Reserve;82;27.0;Virginia;Virginia;;Viognier;Barrel Oak;81
Spain;Made with Organically Grown Grapes;82;10.0;Levante;Utiel-Requena;;Tempranillo;Ossiam;86
US;Il Campo Estate Field;82;40.0;California;Dry Creek Valley;Sonoma;Red Blend;Armida;82
France;Signature;82;;Burgundy;Bourgogne;;Chardonnay;Maison Champy;80
US;Villagio Off Dry;82;9.0;Missouri;Missouri;;White Blend;Mount Pleasant Winery;91
France;;82;;Burgundy;Bourgogne;;Chardonnay;Pierre Morey;88
US;;82;65.0;California;Howell Mountain;Napa;Cabernet Sauvignon;Stephen & Walker;90
US;;82;25.0;California;Napa Valley;Napa;Sauvignon Blanc;Mario Bazán;91
Spain;6 Meses en Barrica;82;14.0;Central Spain;Uclés;;Tempranillo;Finca La Estacada;97
US;Private Reserve Double Barrel Bell Brothers-Merrill's Vineyard;82;22.0;Texas;Texas;;Zinfandel;Messina Hof;87
Spain;;82;13.0;Central Spain;La Mancha;;Tempranillo;Gladium;81
US;;82;15.0;Missouri;Missouri;;Chambourcin;Montelle;86
US;Vintner's Cuvée;82;13.0;California;California;California Other;Cabernet Sauvignon;Rosenblum;93
France;;82;;Burgundy;Bourgogne;;Chardonnay;Domaine Bernard Moreau et Fils;100
Spain;Old Vines Reserva;82;15.0;Central Spain;Valdepeñas;;Tempranillo;Bodegas Navarro López;88
Argentina;;82;17.0;Other;Alto Valle del Río Negro;;Malbec;Verum;90
US;RedVolution;82;20.0;California;California;California Other;Red Blend;Bota Box;99
Spain;Jaloco Roble;82;12.0;Central Spain;Ribera del Guadiana;;Red Blend;Bodegas Medina;97
US;The Climber;82;14.0;California;California;California Other;Sauvignon Blanc;Clif Family;98
US;;82;13.0;California;California;California Other;White Blend;Stark Raving;97
US;Estate;82;27.0;Washington;Lake Chelan;Columbia Valley;Tempranillo;Tildio;86
Spain;Diego de Almagro;82;10.0;Central Spain;Valdepeñas;;Airen;Pagos del Rey;95
US;Champoux Vineyard;88;50.0;Washington;Horse Heaven Hills;Columbia Valley;Merlot;Fidelitas;95
France;Méthode Gaillacoise;88;12.0;Southwest France;Gaillac;;Mauzac;Domaine Sarrabelle;92
France;Brut Réserve;88;46.0;Champagne;Champagne;;Champagne Blend;Mailly Grand Cru;88
